team,team_id,match_id,outcome,won,N,S,N_eff,N_eff_frac,team_sf
Las Palmas,208,3894743,lost,0,16,0.9463178934280262,12.248935696789736,0.7655584810493585,0.09243697478991597
Osasuna,422,3894817,lost,0,16,0.9654409976580892,13.362807886451598,0.8351754929032249,0.21368715083798884
Osasuna,422,3894546,lost,0,14,0.9470234966855199,10.77867174360856,0.7699051245434686,0.1757188498402556
Osasuna,422,3894643,lost,0,16,0.9640696015726983,13.408745596930515,0.8380465998081572,0.18085106382978725
Osasuna,422,3894713,win,1,16,0.940397683032675,12.224112247173212,0.7640070154483257,0.18115942028985507
Osasuna,422,3894611,lost,0,15,0.9662218429582083,12.867419906206035,0.857827993747069,0.18194444444444444
Osasuna,422,3894556,win,1,15,0.9629896725679435,12.557421146892812,0.8371614097928541,0.2876923076923077
Osasuna,422,3894731,win,1,16,0.9669276555105135,13.652905391300028,0.8533065869562517,0.2952522255192878
Osasuna,422,3894650,draw,0,16,0.9627719229178728,13.666637645767613,0.8541648528604758,0.22916666666666666
Osasuna,422,3894798,win,1,16,0.9471282656977172,12.162614714142494,0.7601634196339059,0.20710059171597633
Osasuna,422,3894765,win,1,16,0.9268563522743792,11.138899461459358,0.6961812163412099,0.30333333333333334
Osasuna,422,3894530,win,1,15,0.9552648220395757,12.38972420686446,0.825981613790964,0.21166306695464362
Osasuna,422,3894672,draw,0,16,0.9600294966078478,13.387822495391786,0.8367389059619866,0.32234432234432236
Osasuna,422,3894833,lost,0,15,0.9474271946830599,12.018708496112188,0.8012472330741459,0.16265060240963855
Osasuna,422,3894801,lost,0,15,0.9384139745390288,11.588513192637912,0.7725675461758608,0.19716494845360824
Osasuna,422,3894693,win,1,16,0.9673008684589497,13.726647049609932,0.8579154406006207,0.20459081836327345
Osasuna,422,3894775,win,1,16,0.9508022295988852,12.671985983918082,0.7919991239948801,0.18761726078799248
Osasuna,422,3894605,win,1,16,0.9374679310396687,12.166944738893118,0.7604340461808199,0.1673511293634497
Osasuna,422,3894897,win,1,14,0.9706486789647031,12.302881719496646,0.8787772656783319,0.1783132530120482
Osasuna,422,3894570,lost,0,16,0.9430986306193128,11.828393138429448,0.7392745711518405,0.18864097363083165
Osasuna,422,3894844,lost,0,16,0.9513612936777565,12.644278781589557,0.7902674238493473,0.30409356725146197
Osasuna,422,3894755,lost,0,16,0.9553565301017625,12.76868648449134,0.7980429052807088,0.1822429906542056
Osasuna,422,3894783,draw,0,16,0.9584634243107701,13.092013681747218,0.8182508551092011,0.2966101694915254
Osasuna,422,3894904,draw,0,16,0.9517484150466816,12.986919425900512,0.811682464118782,0.19375
Osasuna,422,3894887,draw,0,16,0.9424061673835293,12.28479163502635,0.7677994771891469,0.2094188376753507
Osasuna,422,3894824,win,1,16,0.9563628497764219,12.905851554945091,0.8066157221840682,0.18722466960352424
Osasuna,422,3894560,lost,0,16,0.9660543183321502,13.394397301081705,0.8371498313176066,0.2716049382716049
Osasuna,422,3894857,lost,0,16,0.9578365247249759,12.897825375990116,0.8061140859993823,0.14169381107491857
Osasuna,422,3894666,lost,0,16,0.9367602858699656,11.782439250244426,0.7364024531402766,0.16198347107438016
Osasuna,422,3894704,lost,0,16,0.9663131730470264,13.598168189121091,0.8498855118200682,0.19678714859437751
Osasuna,422,3894865,lost,0,15,0.9503377290855978,11.97652829969973,0.798435219979982,0.2111111111111111
Osasuna,422,3894624,win,1,16,0.9596615396572584,13.247104201962134,0.8279440126226334,0.18528368794326242
Osasuna,422,3894746,draw,0,15,0.9614194431312105,12.609053411128157,0.8406035607418771,0.1812015503875969
Osasuna,422,3894631,lost,0,15,0.9569997603932457,12.180747642996833,0.8120498428664555,0.20734341252699784
Osasuna,422,3894870,draw,0,15,0.9522460655800905,11.969821407752637,0.7979880938501758,0.26785714285714285
Osasuna,422,3894726,lost,0,16,0.9602536173797764,13.128012902237314,0.8205008063898321,0.24307692307692308
Osasuna,422,3894592,lost,0,16,0.9525492543094959,12.731651180782062,0.7957281987988789,0.18253968253968253
Osasuna,422,3894587,draw,0,16,0.9349124031814303,11.774599247148801,0.7359124529468001,0.3324396782841823
Osasuna,422,3894682,draw,0,15,0.9532825354409168,12.113786984630941,0.8075857989753961,0.20677570093457945
Real Madrid,220,3894817,win,1,16,0.9479584535240255,12.690730214529703,0.7931706384081064,0.1225328947368421
Real Madrid,220,3894568,win,1,16,0.9668792578540099,13.644270507225226,0.8527669067015766,0.11794871794871795
Real Madrid,220,3894738,win,1,16,0.9568445587119311,12.998916098223816,0.8124322561389885,0.1274928774928775
Real Madrid,220,3894611,win,1,16,0.9672956362342701,13.615567263607488,0.850972953975468,0.09152086137281291
Real Madrid,220,3894578,win,1,16,0.9354560453365368,12.152560485294893,0.7595350303309308,0.12250453720508167
Real Madrid,220,3894623,win,1,16,0.9428609456293364,12.310900199275139,0.7694312624546962,0.10037174721189591
Real Madrid,220,3894629,win,1,14,0.9756873244719239,12.421295816463527,0.8872354154616805,0.11654135338345864
Real Madrid,220,3894868,win,1,14,0.9484000296776487,10.970855394523518,0.7836325281802513,0.09892729439809297
